FirstName,Initials,Lastname,Username,Email,Department,Password,JobTitle,Company,OU
Jean,J.D.,Dupont,jdupont,jdupont@solary.gg,Finance,wqVHdCg&U3?3A4,Directeur Financier,Solary.gg,"OU=Finance,OU=Solary.gg,DC=solary,DC=gg"
Marie,M.L.,Laurent,mlaurent,mlaurent@solary.gg,Finance,H5cxr4@@J?uIA0,Comptable,Solary.gg,"OU=Finance,OU=Solary.gg,DC=solary,DC=gg"
Pierre,P.M.,Martin,pmartin,pmartin@solary.gg,Finance,c&H2eZDjy9?9Se,Analyste Financier,Solary.gg,"OU=Finance,OU=Solary.gg,DC=solary,DC=gg"
Sophie,S.B.,Bernard,sbernard,sbernard@solary.gg,Finance,n4xFFqq%4Z*ck1,Contrôleur de Gestion,Solary.gg,"OU=Finance,OU=Solary.gg,DC=solary,DC=gg"
Luc,L.R.,Robert,lrobert,lrobert@solary.gg,Finance,$lrj77AKoj!Y2s,Trésorier,Solary.gg,"OU=Finance,OU=Solary.gg,DC=solary,DC=gg"
Claire,C.D.,Dubois,cdubois,cdubois@solary.gg,Finance,0qTvg0WH%an5l%,Auditeur Interne,Solary.gg,"OU=Finance,OU=Solary.gg,DC=solary,DC=gg"
Antoine,A.T.,Thomas,athomas,athomas@solary.gg,Finance,qgm!9$O9FsAq9n,Comptable,Solary.gg,"OU=Finance,OU=Solary.gg,DC=solary,DC=gg"
Camille,C.P.,Petit,cpetit,cpetit@solary.gg,Finance,dh98Ow#b6v&CE6,Analyste Financier,Solary.gg,"OU=Finance,OU=Solary.gg,DC=solary,DC=gg"
Nicolas,N.L.,Leroy,nleroy,nleroy@solary.gg,Finance,l5GwhW?5N#7BdT,Assistant Comptable,Solary.gg,"OU=Finance,OU=Solary.gg,DC=solary,DC=gg"
Emma,E.M.,Moreau,emoreau,emoreau@solary.gg,Finance,tBl?@3nBYeW36s,Gestionnaire de Paie,Solary.gg,"OU=Finance,OU=Solary.gg,DC=solary,DC=gg"
Thomas,T.G.,Garcia,tgarcia,tgarcia@solary.gg,IT,3bPf63!iS*B1yz,Administrateur Système,Solary.gg,"OU=IT,OU=Solary.gg,DC=solary,DC=gg"
Julie,J.R.,Roux,jroux,jroux@solary.gg,IT,Y*5tr8z?#0R5Bs,Développeuse,Solary.gg,"OU=IT,OU=Solary.gg,DC=solary,DC=gg"
Maxime,M.F.,Fournier,mfournier,mfournier@solary.gg,IT,*AcBP9n62pUk9@,Ingénieur Réseau,Solary.gg,"OU=IT,OU=Solary.gg,DC=solary,DC=gg"
Laura,L.G.,Girard,lgirard,lgirard@solary.gg,IT,sP2F@%yG6Oln74,Technicienne Support,Solary.gg,"OU=IT,OU=Solary.gg,DC=solary,DC=gg"
Hugo,H.B.,Bonnet,hbonnet,hbonnet@solary.gg,IT,*4xupK2N*Tac$0,DevOps,Solary.gg,"OU=IT,OU=Solary.gg,DC=solary,DC=gg"
Léa,L.D.,Dumont,ldumont,ldumont@solary.gg,IT,jlhYdX#d5$U55N,Analyste Cybersécurité,Solary.gg,"OU=IT,OU=Solary.gg,DC=solary,DC=gg"
Alexandre,A.L.,Lambert,alambert,alambert@solary.gg,IT,vy#&EzJ7Y4p?d6,Chef de Projet IT,Solary.gg,"OU=IT,OU=Solary.gg,DC=solary,DC=gg"
Manon,M.R.,Rousseau,mrousseau,mrousseau@solary.gg,IT,5kKR6*Tj7cq%wZ,Développeuse,Solary.gg,"OU=IT,OU=Solary.gg,DC=solary,DC=gg"
Romain,R.M.,Mercier,rmercier,rmercier@solary.gg,IT,8n5oCS5X$*tfkd,Administrateur Base de Données,Solary.gg,"OU=IT,OU=Solary.gg,DC=solary,DC=gg"
Chloé,C.G.,Guerin,cguerin,cguerin@solary.gg,IT,&rD?iqTO29!3i4,Technicienne Support,Solary.gg,"OU=IT,OU=Solary.gg,DC=solary,DC=gg"
Pauline,P.A.,Andre,pandre,pandre@solary.gg,Marketing,4!FN9zLzj4*ucw,Responsable Marketing,Solary.gg,"OU=Marketing,OU=Solary.gg,DC=solary,DC=gg"
Florian,F.L.,Lemaire,flemaire,flemaire@solary.gg,Marketing,F05E#kxVf6%Fqd,Community Manager,Solary.gg,"OU=Marketing,OU=Solary.gg,DC=solary,DC=gg"
Inès,I.S.,Simon,isimon,isimon@solary.gg,Marketing,9UsE8%f%xmRz05,Chargée de Communication,Solary.gg,"OU=Marketing,OU=Solary.gg,DC=solary,DC=gg"
Bastien,B.C.,Chevalier,bchevalier,bchevalier@solary.gg,Marketing,y75r##EoZnOb0L,Graphiste,Solary.gg,"OU=Marketing,OU=Solary.gg,DC=solary,DC=gg"
Amandine,A.F.,Faure,afaure,afaure@solary.gg,Marketing,@7oe#r4LM3PvpC,Analyste Marketing,Solary.gg,"OU=Marketing,OU=Solary.gg,DC=solary,DC=gg"
Olivier,O.N.,Noel,onoel,onoel@solary.gg,RH,5oIBL%K2o@7t7l,Directeur RH,Solary.gg,"OU=RH,OU=Solary.gg,DC=solary,DC=gg"
Céline,C.H.,Henry,chenry,chenry@solary.gg,RH,uqMf!%18efA2Mu,Chargée de Recrutement,Solary.gg,"OU=RH,OU=Solary.gg,DC=solary,DC=gg"
Vincent,V.M.,Masson,vmasson,vmasson@solary.gg,RH,tN8@qqwHVb#8#0,Gestionnaire RH,Solary.gg,"OU=RH,OU=Solary.gg,DC=solary,DC=gg"
Elodie,E.C.,Clement,eclement,eclement@solary.gg,RH,lM&69znZ@N2y2A,Responsable Formation,Solary.gg,"OU=RH,OU=Solary.gg,DC=solary,DC=gg"
Damien,D.R.,Renard,drenard,drenard@solary.gg,RH,nZiP7LO@t5f0S!,Assistant RH,Solary.gg,"OU=RH,OU=Solary.gg,DC=solary,DC=gg"
